Murah Jaya,Tb	-6.6215981, 106.8230345
Jaya Logam, Tb	-6.458818333, 106.8485517
Platinum Maju Jaya, Tk	-6.412053333, 107.0106417
Sepsaco Mandiri, Pt	-6.2122217, 106.8462183
Makmur ( Toko Subur Jaya )	-6.6961049, 106.8511175
Taman Makam Bahagia Abri, P	-6.2809623, 106.697891
Putra Jaya, Tb	-6.37034673, 106.8832876
Citra Bangunan 2, Tk	-6.45228, 107.06005
Cahaya Abadi, Tk ( Narogong )	-6.443048333, 106.944035
TB. Mentari	-6.359833, 106.8830442
Shaffa Residences Bogor	-6.5076121, 106.8134684
Sinar Bangunan (Kubil Jaya)	-6.485177, 106.7149911
 tb. Gombong jaya stell	-6.572313, 106.96893
berkah jaya mandiri 	-6.699062, 106.868863
Tb. Alam baru	-6.589711, 107.146016
ridwan blok	-6.848527, 107.148972
ekopan 2	-6.910304, 106.897566
Mia Sp4, Tb	-6.4635142, 106.788459
TB gunung jati	-6.933698, 106.971952
Tb Agung jaya	-6.453194, 106.8275068
Putra Tunggal Jaya, Tb (Cianjur)	-6.7829463, 107.1773505
Maju Jaya,Tb (Putat Nutug)	-6.5028311, 106.6820337
Maryanah Ty. Hs, Tb	-6.386370552, 106.8746794
TB Family	-6.973919, 106.825716
Cahaya Bangunan,Tb	-6.4327217, 106.7442133
TB Jaya Kembang	-6.432936, 106.749764
Putra Dimas, Tb	-6.4460524, 106.5642998
tb gekbrong jaya	-6.867731, 107.044322
Tri Jaya Mandiri, Tb	-6.4234247, 107.0350392
Arinda Jaya, Tb	-6.578341667, 106.643435
Maju Terus,Tb	-6.3530664, 106.578251
Curug Garden 	-6.3852384, 106.728271
TB cahaya 3	-6.3673542, 106.729459
Barokah bersama	-6.379425, 106.774153
Mulya Abadi, Tb	-6.358615765, 106.4841606
TB Ardi Barokah	-6.4283467, 106.7351138
Karya Bangunan (Ciangsana), Tb	-6.377985, 106.9425533
Chandra Permai	-6.392431799, 106.8797217
Ikbal, Bpk	-6.4814253, 106.4666027
tb sami jaya	-7.283981, 106.62141
Sinar Aulia, Tb (Cianjur)	-6.791068333, 107.169915
TB Putra barokah	-6.390134, 106.778128
Surya Agung,Tb	-6.411088046, 106.9618518
Murah Abadi	-6.6008334, 107.1425442
Puspa Indah	-6.484036667, 106.798705
Jaya Seminau, Tb	-6.4124767, 106.6561671
Cemerlang,Tb	-6.38604042, 106.8675513
TB lestari jaya2	-6.8287624, 107.1563141
TB Cahaya berkah	-6.42284, 106.848172
Mampir Jaya, Tb	-6.420281667, 107.0017283
TB putra idaman 	-7.3379052, 106.5816382
Cahaya Purnama, Tb	-6.44796534, 106.7865578
Mitra Jaya, Tk ( Cigudek )	-6.554981167, 106.5400112
Sumber Murah,Tb	-6.4054951, 106.7376408
TB Subur	-6.39938, 106.813437
Yenny,Tb	-6.421039, 107.0050597
TB alfi putra jaya	-6.3452187, 106.8674903
Platinum Maju Jaya Jl. Peta Utara 3	-6.1398307, 106.7025859
Kemang 99 , Tk	-6.4208101, 106.8391732
Anugrah Samolo, Tb (Cianjur)	-6.8026, 107.19950333
Karya Gemilang, Tb	-6.3650457, 106.6822811
TB. Mari Jaya	-6.4510258, 106.9078737
Central Electric, Tb	-6.57762279, 106.7079282
TB. Mekar jaya	-6.340439, 106.874519
Peniti Sukses, Cv	-6.3157659, 106.470036
Sinar Makmur, Tb (Ciseeng)	-6.453624233, 106.703107
Tokban Graha Teknologi, Pt	-6.560568333, 106.85434
Usaha Jaya, Tb.	-6.372626787, 106.8462817
Tb tirta jaya	-6.404894, 106.842899
Putra Jaya, Tb ( Susukan)	-6.4739786, 106.7838865
TB alam sejahtera	-6.404223, 106.812507
Mutiara Citayam, Tb	-6.4512788, 106.7820769
Budi Bangunan, Tb	-6.441183333, 106.9198167
Ms,Tb	-6.3355927, 106.7834858
Cipta Indah, Tb	-6.52076, 106.8342933
Ciliwung Jaya Putra, Tb	-6.6080679, 106.8494127
TB Aneka Harapan	-6.43429, 106.782431
Tiga Berlian, Tb (Sukabumi)	-7.35451572, 106.5509562
Kencana (Sukasari), Tb	-6.61779, 106.8127383
Puspa Indah 2	-6.478578333, 106.812825
Panembong Baja	-6.8115371, 107.1262988
griya mulya	-6.923349, 106.898401
Rahayu Mandiri, Tb (Depok)	-6.428510025, 106.8595847
Indah Jaya, Tb (Depok)	-6.368501667, 106.8079467
Jaya Makmur (Atang Sanjaya), Tk	-6.547300201, 106.7561657
Hijrah,Tk	-6.5848971, 106.6628048
Usaha Maju (Bojong Sari), Tb	-6.383752473, 106.7269568
Bina Mandiri, Tk	-6.39585012, 106.7433959
Prapatan Tegallega, Tb	-6.5942926, 106.8160171
Harapan Baru, Tb (Cilodong)	-6.42579479, 106.847814
Mitra Utama, Tb (Depok)	-6.437882627, 106.7698184
Ponti Sari	-6423446667.0, 107.034965
Bravo Buana . Tk	-6.493083333, 106.7458
Mulia Abadi, Tb (Jampang)	-6.4769857, 106.7381835
TB Pondok jaya	-6.4377094, 106.8077148
Murah Sinar Abadi, Tk	-6.4419756, 106.7411414
Ponpes Al Kaukab	-6.4392103, 106.9017277
Rahayu, Tb (Cianjur Sukaresmi)	-6.7337864, 107.0939966
TB sumber rezeki berkah	-6.9223253, 106.9706006
Prima Jaya, Tb (Nenggewer)	-6.513421667, 106.8201733
Ustad Taba	-6.4101913, 106.6681648
Jawa, Tb	-6.555816667, 106.8163283
Roda Bangunan Baru, Tb	-6.4444456, 106.7327819
Suka Jaya, Tb	-6.365373367, 106.7750664
Balikpapan Metro Wisesa,Pt	-6.4024844, 106.7942405
Setia Jaya, Tb	-6.403934498, 106.8382742
189, Pb ( Fery )	-6.4978611, 106.8110774
Cahaya Baru, Tb ( Depok )	-6.3855352, 106.7713461
Putra Jaya Mandiri, Tb	-6.461573333, 106.8401
TB. Putra laris	-6.3283753, 106.8513479
Kencana ( Cimahpar No.24 )	-6.5888777, 106.8198824
Hakiki, Tb	-6.5537193, 106.5388961
TB Alfin putra	-6.345239, 106.8675407
Tb Putra daha 2	-6.3424904, 106.8495327
Ciliwung Jaya/Central Niaga Cibinong	-6.5731663, 106.810302
Karya Mandiri, Tb (Cogreg)	-6.3479544, 106.7419461
Barazaki, Tb	-6.45354571, 106.8023293
TB. Makmur Jaya  (cipinang)	-6.2353565, 106.8740955
 TB. Makmur jaya	-6.313461, 106.894067
Eka Karya Lestari, Tb	-6.359097993, 106.775605
Mawar Jaya 3, Tb	-6.7396287, 106.7794935
Galenium Pharmasia,Pt	-6.2969545, 107.3014726
Subur Jaya 2, Tb	-6.81369406, 106.7689839
berkah sejati	-6.625692, 106.713274
Gemilang Abadi, Tb	-6.417130544, 106.8671823
TB Restu Bumi	-6.424994, 106.802073
Slamet, Tk	-6.6006189, 106.7592698
TB. BANGKIT.	-6.322696, 106.873541
Sumber Rejeki,Tb (Cilodong)	-6.43366901, 106.8348408
TB. Abadi jaya.	-6.318674, 106.9040247
Pelangi Lintas Nusa, Pt	-6.3560872, 106.879792
Trikarya Abadi/Puncak	-6.7142252, 107.0230785
Acc.Tb (Kalisuren)	-6.468475, 106.74059
Timur Jaya, Tb	-6.442128333, 107.06199
Sinar Agung Jaya, Tb	-6.360031667, 106.843085
Kian Jaya	-6.3507294, 106.9599054
Menara Jaya, Tb	-6.3941618, 106.7719488
Jaya Semesta 89, Tk.	-6.383987317, 106.6830217
tb. Fajar	-6.3305339, 106.8687693
Sumber Bangunan(Pamijahan), Pb	-6.68168951, 106.671786
Tb. Setia sekawan jaya	-6.3296669, 106.8254992
Mandiri Jaya, Tb (Ciawi)	-6.6806102, 106.8698524
Qian Jaya, Tb	-6.49365, 106.681368333333
Bintang Terang, Tk	-6.3734562, 106.7455341
Maju Jaya, Tb (Pancoran Mas)	-6.391271013, 106.7956462
TB Mekar jaya	-6.823168, 107.096862
baja utara	-6.918633, 106.914348
Sederhana Baru, Tb	-6.5675823, 106.7766003
TB. Setia jaya 	-6.9568599, 106.9616592
Mulus, Tk	-6.5561646, 106.7263496
TB Arya meubeul	-6.8384445, 107.0778534
Roda Mas Ii	-6.443638333, 106.8047983
Anugrah Bangunan, Tb	-6.7162248, 106.8650579
Makmur Jaya (Karadenan), Tb	-6.51231, 106.8071967
TB naratu 	-6.390718, 106.784491
TB. Pelita	-6.5960259, 106.7600329
TB Fajar	-6.3327532, 106.863875
Putra Parung, Tk	-6.4857511, 106.7362132
Cahaya Baru, Tk ( Ciomas )	-6.6020719, 106.7585428
Bintang Timur, Tb (Cianjur)	-6.797909, 107.1668826
TB Parung jaya	-6.844261, 106.7608601
Berkah Makmur, Tb	-6.487540081, 106.726734
Mustika Mutiara Indah,Tb	-6.3285432, 106.9680555
D'best Matrial, Tb (Sukabumi)	-6.91147333, 106.9605633
Murah Karya, Tb	-6.56471285, 106.5858383
Bangun 168 Sukses, Tb	-6.556943333, 106.781885
Menara Bangunan. Tb	-6.439900472, 106.6985049
Aneka Jaya, Tb	-6.4665034, 106.8622194
Jaya Makmur, Tb (Leuwinutug)	-6.515633333, 106.8625033
TB Sumber Tani 	-6.627126, 106.753798
Giat Jaya 	-6.508017, 106.807152
Abadi Jaya (Cimanggis)	-6.393032153, 106.8745379
Sinar Bangunan (Ciomas)	-6.6022665, 106.7640515
Bojong Baru, Tb	-6.5356983, 106.7484867
TB Sarana Bangunan	-6.406439, 106.7702362
Sinar Semesta, Tb	-6.44425, 107.0092717
Putra Parigi Jaya, Tb	-6.359559023, 106.5209974
TB Maruna Jayaa	-6.368516, 106.761743
TB Micheala Mart	-6.4155022, 106.7542914
Tb. Maduratna	-6.4009883, 106.8364568
Sinar Fajar(Citereup), Tb	-6.502151667, 106.8920867
TB KPD	-6.371367, 106.713322
TB karya muda	-6.344324, 106.792164
Mitra Bangunan, Tb (Wanaherang)	-6.4200494, 106.9459457
TB Pembangunan Jaya 2	-6.422783, 106.766079
Talang Sewu	-6.475875, 106.813165
Mitra murah	-6.424057, 106.783199
TB Arco Wijaya	-6.438453, 106.74791
TB panca	-6.412393, 106.816634
kencana makmur	-6.573386139462961, 106.7368333043434
Mulyana Mandiri, Tb (Sukabumi)	-6.89119666, 106.77375666
Perumahan Viona Residen	-6.3875756, 106.6982163
intan putri	-6.886825, 106.828024
TB makmur abadiii	-6.427237, 106.796395
TB Pahlawan	-6.36799, 106.761962
TB subur makmur	-6.413109, 106.780272
Hijau Synergi Utama, Pt	-6.3447976, 106.6661295
Karya Bangunan (Cogreg), Tb	-6.420625, 106.6926983
Rizky H. Usup 2, Tb	-6.5432666, 106.6942606
Mekar Jaya,Tb (Batu Tulis)	-6.6194272, 106.8073321
Tholib Jaya Mandiri 2	-6.582464, 106.8199569
Sumber 88, Tk	-6.5334631, 106.786802
Pilar Bangunan	-6.6389051, 106.8081965
Sumber Makmur, Tb (Sukabumi)	-6.94651035, 107.00864635
Maju, Tk	-6.696548, 106.8694651
Jaya Tunggal Sejahtera Abadi, Pt	-6.3143836, 106.7868669
Bunar Jaya, Tk	-6.520666326, 106.4986169
TB. Hana jaya 	-6.3146245, 106.8938298
Taman Cimanggu,Tk	-6.5645587, 106.7806075
TB jati	-6.874459, 107.081857
Selaksa Mitra Perkasa, Pt	-6.4319774, 106.8710181
Cahaya Kali Putih, Tb (Tajur Halang)	-6.4488337, 106.7522578
Ant Agung, Tb	-6.540904, 106.6870841
Jaya Lestari	-6.3650463, 106.7015465
TB sinar mutiara	-6.620885, 106.794312
TB. Nelly jaya	-6.375895, 106.900011
tb sinar panutan	-6.885468817505053, 106.8661730460327
Bangun Persada (Depok), Tb	-6.412840937, 106.8521961
Duta Bangunan	-6.588814887, 106.7284045
Harkat Jaya 1, Tb	-6.604746, 106.5083256
Tb lotus karya	-6.4433171, 106.8159007
tb sanjaya	-6.399959, 106.780246
Yusuf, Cv	-6.5695552, 106.8143504
Cahaya Baru. Tb (Sawangan)	-6.419906798, 106.752711
Sinar Putra,Tb	-6.4608176, 106.9700082
TB. Hikmah 	-6.323418, 106.891497
Putri Murah Abadi, Tk	-6.44404, 107.0038183
Yudistira, Tb	-6.5778134, 106.543676
Psm, Tb (Cianjur)	-6.92632, 107.1374969
Putra Wijaya	-6.4244095, 106.7427416
Tb. Matahari 	-6.33067, 106.828522
TB jaya keramik	-6.417663, 106.814517
Cahaya Baru, Tk	-6.5691652, 106.7861833
Lestari Jaya, Tb	-6.408559997, 106.7365428
Tb berlian utama	-6.4656637, 106.7652289
Rizky Jaya, Tb (Rancabungur)	-6.53563529566036, 106.730857401033
Sinar Harapan, Tb (Cianjur)	-6.76229, 107.19382666
Sumber Jaya Anugrah. Tb (Bilabong)	-6.50526767, 106.7672516
Subur Abadi Makmur, Tb	-6.634434267, 106.7863469
Sinar Aulia 2, Ud	-6.405541667, 106.8620367
Rheza Mandiri Iii	-6.424036, 106.8376093
Cahaya Mandiri (Kedungbadak), Pb	-6.388955, 106.6315817
TB Moyan	-6.5307103, 106.7265371
Hidup Baru, Tb (Nagrak)	-6.3796308, 106.9301786
toko bahagia	-6.565952, 106.801563
Cibatok Raya Agung, Tb	-6.5745025, 106.6624619
Cahaya, Tb (Cianjur)	-6.7554513, 107.04651751
Cahaya Berkah, Tk	-6.5365288, 106.8144053
Ferli Jaya, Tb	-6.581889, 106.8222458
Vin Jaya, Tb	-6.408966554, 106.9616642
Cipayung Jaya, Pd	-6.650265, 106.8977367
Tiara Succes Keramik, Tk	-6.44633, 106.8103413
Restu Jaya Bagbagan, Tb	-6.904566, 106.93029213
Pesona Pp, Tb.	-6.430365904, 106.7843518
Karya Adil, Pb	-6.6772223, 106.8625541
Roda Mas 3. Tb	-6.422673333, 106.7824633
mutiara truss	-6.9372653, 106.9520551
tb. kurnia 	-6.351834, 106.872487
National Baru, Tb	-6.400901444, 106.8510065
Revo Bangunan,Tb	-6.4681059, 106.8343095
TB. Sinar Abadi	-6.314474, 106.893913
Sahabat Bangunan (Depok), Tb	-6.38167677, 106.8908136
Gunung Jati, Tb (Cilaku, Tenjo)	-6.330592297, 106.4763961
Cahaya Bangunan, Tk	-6.535867, 106.7692557
Anugrah Jaya Abadi. Tb	-6.4695874, 106.7866337
Sumber Bangunan, Tb	-6.445314735, 106.7619986
Cahaya Makmur Abadi, Tb	-6.393015, 106.9852183
Tb. Shin Hoat	-6.2151743, 106.8607169
Persada Jaya Ii, Tb	-6.44449033, 106.8587049
subur jaya	-6.8702589, 106.8031062
Jatiwangi, Tb	-6.6138838, 106.8036919
TB sinar belum	-6.381515, 106.814412
TB karya utamaa	-6.395723, 106.774571
Tb Karya bangun	-6.4470965, 106.8086933
TB makmur abadii	-6.427199, 106.796326
Sumber Bangunan Daerah 2	-6.586713, 107.0042975
TB sinar mentari	-6.417224, 106.815057
Karunia Jaya (Bojong Koneng), Tb	-6.6056397, 106.8952718
Nazwa. Tb	-6.524163333, 106.9019867
TB karya utama	-6.3954121, 106.7722644
TB Sinar Jaya Bangunan	-6.434391, 106.7751552
Karya Indah, Tb	-6.426103333, 106.765575
